reviewer,type,id,adaptability,completeness,relevance,clarity,accuracy,weighted_average
Wang,json,json_57,3,2,3,4,2,2.85
Wang,json,json_58,3,4,1,2,5,2.85
Wang,json,json_59,4,3,4,5,3,3.85
Wang,json,json_60,4,2,4,5,4,3.9
Wang,dialogue,dia_1,3,4,5,5,4,4.25
Wang,dialogue,dia_2,4,3,5,4,3,3.9
Wang,dialogue,dia_3,2,3,4,5,3,3.45
Wang,dialogue,dia_4,2,3,5,2,4,3.3
Wang,dialogue,dia_5,3,2,5,3,5,3.75
Wang,dialogue,dia_6,3,4,4,3,5,3.8
Wang,dialogue,dia_7,2,3,5,3,4,3.5
Wang,dialogue,dia_8,2,4,5,2,4,3.45
Wang,dialogue,dia_9,1,3,5,3,3,3.1
Wang,dialogue,dia_10,2,2,5,1,4,2.95
Wang,dialogue,dia_11,3,3,5,2,4,3.5
Wang,dialogue,dia_12,2,3,4,2,4,3.05
Wang,dialogue,dia_13,3,3,5,2,5,3.7
Wang,dialogue,dia_14,3,3,5,2,5,3.7
Wang,dialogue,dia_15,3,4,5,1,5,3.65
Wang,dialogue,dia_16,3,4,5,1,3,3.25
Wang,dialogue,dia_17,3,4,5,2,4,3.65
Wang,dialogue,dia_18,3,4,5,2,5,3.85
Wang,dialogue,dia_19,3,3,5,1,4,3.3
Wang,dialogue,dia_20,2,3,5,2,3,3.1
Wang,dialogue,dia_21,2,4,5,3,5,3.85
Wang,dialogue,dia_22,2,4,5,3,5,3.85
Wang,dialogue,dia_23,3,4,5,3,4,3.85
Wang,dialogue,dia_24,2,4,5,3,4,3.65
Wang,dialogue,dia_25,2,3,5,3,4,3.5
Wang,dialogue,dia_26,2,3,5,2,4,3.3
Wang,dialogue,dia_27,2,3,5,4,4,3.7
Wang,dialogue,dia_28,2,3,5,3,5,3.7
Wang,dialogue,dia_29,3,3,5,3,5,3.9
Wang,dialogue,dia_30,3,3,4,3,4,3.45
Wang,dialogue,dia_31,3,3,5,2,5,3.7
Wang,dialogue,dia_32,2,3,5,4,3,3.5
Wang,dialogue,dia_33,2,3,5,3,4,3.5
Wang,dialogue,dia_34,3,4,5,4,5,4.25
Wang,dialogue,dia_35,3,2,5,2,5,3.55
Wang,dialogue,dia_36,3,3,4,3,4,3.45
Wang,dialogue,dia_37,2,4,5,3,4,3.65
Wang,dialogue,dia_38,2,3,5,4,5,3.9
Wang,dialogue,dia_39,3,3,5,2,5,3.7
Wang,dialogue,dia_40,3,3,5,2,5,3.7
Wang,dialogue,dia_41,3,4,5,2,4,3.65
Wang,dialogue,dia_42,3,3,5,2,5,3.7
Wang,dialogue,dia_43,3,3,5,3,3,3.5
Wang,dialogue,dia_44,3,3,5,3,5,3.9
Wang,dialogue,dia_45,2,2,5,4,5,3.75
Wang,dialogue,dia_46,4,4,5,4,3,4.05
Wang,dialogue,dia_47,4,3,5,4,5,4.3
Wang,dialogue,dia_48,3,4,5,3,5,4.05
Wang,dialogue,dia_49,4,3,5,2,4,3.7
Wang,dialogue,dia_50,4,2,5,1,3,3.15
Wang,dialogue,dia_51,4,3,5,1,4,3.5
Wang,dialogue,dia_52,3,4,5,2,5,3.85
Wang,dialogue,dia_53,4,4,5,2,4,3.85
Wang,dialogue,dia_54,3,4,5,2,4,3.65
Wang,dialogue,dia_55,3,3,5,3,5,3.9
Wang,dialogue,dia_56,3,4,5,2,5,3.85
Wang,dialogue,dia_57,3,4,5,4,5,4.25
Wang,dialogue,dia_58,2,4,5,4,5,4.05
Wang,dialogue,dia_59,2,4,5,4,5,4.05
Wang,dialogue,dia_60,3,3,5,2,3,3.3
Vidhika,list,list_1,1,3,1,2,1,1.53 
Vidhika,list,list_2,2,1,1,2,1,1.37 
Vidhika,list,list_3,2,2,3,4,1,2.37 
Vidhika,list,list_4,2,5,2,3,1,2.42 
Vidhika,list,list_5,3,4,5,5,2,3.74 
Vidhika,list,list_6,5,3,4,2,3,3.32 
Vidhika,list,list_7,4,5,3,3,1,2.95 
Vidhika,list,list_8,5,2,5,4,4,4.05 
Vidhika,list,list_9,3,3,4,5,2,3.37 
Vidhika,list,list_10,4,4,3,3,3,3.32 
Vidhika,list,list_11,2,5,2,4,1,2.63 
Vidhika,list,list_12,3,4,5,2,2,3.11 
Vidhika,list,list_13,4,3,4,5,3,3.79 
Vidhika,list,list_14,1,2,3,4,2,2.47 
Vidhika,list,list_15,3,2,5,3,3,3.26 
Vidhika,list,list_16,5,3,4,5,3,3.95 
Vidhika,list,list_17,4,4,2,2,1,2.37 
Vidhika,list,list_18,3,5,3,3,1,2.79 
Vidhika,list,list_19,2,3,5,4,1,2.95 
Vidhika,list,list_20,5,2,4,5,1,3.26 
Vidhika,list,list_21,4,3,3,4,1,2.84 
Vidhika,list,list_22,1,3,2,3,2,2.21 
Vidhika,list,list_23,3,4,5,5,3,4.00 
Vidhika,list,list_24,4,3,4,2,3,3.16 
Vidhika,list,list_25,2,5,3,3,2,2.89 
Vidhika,list,list_26,3,2,1,4,3,2.63 
Vidhika,list,list_27,5,3,2,5,1,3.00 
Vidhika,list,list_28,4,4,3,3,2,3.05 
Vidhika,list,list_29,1,1,3,2,2,1.89 
Vidhika,list,list_30,3,3,2,2,4,2.84 
Vidhika,list,list_31,1,1,1,1,1,1.00 
Vidhika,list,list_32,1,2,1,1,1,1.16 
Vidhika,list,list_33,3,2,3,3,1,2.32 
Vidhika,list,list_34,2,2,1,2,1,1.53 
Vidhika,list,list_35,5,3,1,5,1,2.79 
Vidhika,list,list_36,4,5,1,4,2,3.00 
Vidhika,list,list_37,3,4,1,3,3,2.74 
Vidhika,list,list_38,5,5,2,5,1,3.32 
Vidhika,list,list_39,4,3,2,4,4,3.42 
Vidhika,list,list_40,3,4,1,3,2,2.47 
Vidhika,list,list_41,2,2,1,2,3,2.05 
Vidhika,list,list_42,5,3,3,5,1,3.21 
Vidhika,list,list_43,4,4,2,4,2,3.05 
Vidhika,list,list_44,3,1,2,3,3,2.47 
Vidhika,list,list_45,5,3,1,5,2,3.05 
Vidhika,list,list_46,4,5,4,4,3,3.89 
Vidhika,list,list_47,2,4,4,2,3,3.00 
Vidhika,list,list_48,3,3,1,3,1,2.05 
Vidhika,list,list_49,5,2,1,5,1,2.63 
Vidhika,list,list_50,4,5,1,4,1,2.74 
Vidhika,list,list_51,3,4,1,3,1,2.21 
Vidhika,list,list_52,2,1,2,2,1,1.58 
Vidhika,list,list_53,5,3,1,5,2,3.05 
Vidhika,list,list_54,4,4,2,4,3,3.32 
Vidhika,list,list_55,3,2,3,3,3,2.84 
Vidhika,list,list_56,1,3,4,5,2,3.05 
Vidhika,list,list_57,2,5,1,2,3,2.53 
Vidhika,list,list_58,3,4,2,3,1,2.42 
Vidhika,list,list_59,3,1,3,4,2,2.63 
Vidhika,list,list_60,2,3,2,5,2,2.79 
Vidhika,json,json_61,4,5,4,5,3,4.11 
Vidhika,json,json_62,3,3,4,3,5,3.74 
Vidhika,json,json_63,2,2,4,3,3,2.89 
Vidhika,json,json_64,4,5,5,5,5,4.84 
Vidhika,json,json_65,3,2,3,3,4,3.11 
Vidhika,json,json_66,4,3,4,4,4,3.84 
Vidhika,json,json_67,5,4,3,3,3,3.47 
Vidhika,json,json_68,1,1,2,1,2,1.47 
Vidhika,json,json_69,2,2,3,2,2,2.21 
Vidhika,json,json_70,4,3,3,4,4,3.63 
Vidhika,json,json_71,2,4,1,3,5,3.11 
Vidhika,json,json_72,4,2,4,3,1,2.68 
Vidhika,json,json_73,3,4,1,2,3,2.53 
Vidhika,json,json_74,3,4,2,4,4,3.42 
Vidhika,json,json_75,2,4,3,4,2,2.95 
Vidhika,json,json_76,4,3,5,3,2,3.32 
Vidhika,json,json_77,3,4,2,3,3,2.95 
Vidhika,json,json_78,4,5,5,5,5,4.84 
Vidhika,json,json_79,4,2,4,3,1,2.68 
Vidhika,json,json_80,5,2,4,5,1,3.26 
Vidhika,json,json_81,4,3,4,2,3,3.16 
Vidhika,json,json_82,3,2,5,3,3,3.26 
Vidhika,json,json_83,4,5,4,5,3,4.11 
Vidhika,json,json_84,3,3,4,3,5,3.74 
Vidhika,json,json_85,2,2,4,3,3,2.89 
Vidhika,json,json_86,4,5,5,5,5,4.84 
Vidhika,json,json_87,3,2,3,3,4,3.11 
Vidhika,json,json_88,4,3,4,4,4,3.84 
Vidhika,json,json_89,5,4,3,3,3,3.47 
Vidhika,json,json_90,1,1,2,1,2,1.47 
Vidhika,json,json_91,2,2,3,2,2,2.21 
Vidhika,json,json_92,4,3,3,4,4,3.63 
Vidhika,json,json_93,3,4,5,5,3,4.00 
Vidhika,json,json_94,4,3,4,2,3,3.16 
Vidhika,json,json_95,2,5,3,3,2,2.89 
Vidhika,json,json_96,3,2,1,4,3,2.63 
Vidhika,json,json_97,5,3,2,5,1,3.00 
Vidhika,json,json_98,4,4,3,3,2,3.05 
Vidhika,json,json_99,1,1,3,2,2,1.89 
Vidhika,json,json_100,3,3,2,2,4,2.84 
Vidhika,json,json_101,1,1,1,1,1,1.00 
Vidhika,json,json_102,5,4,3,3,3,3.47 
Vidhika,json,json_103,1,1,2,1,2,1.47 
Vidhika,json,json_104,2,2,3,2,2,2.21 
Vidhika,json,json_105,4,3,3,4,4,3.63 
Vidhika,json,json_106,2,4,1,3,5,3.11 
Vidhika,json,json_107,4,2,4,3,1,2.68 
Vidhika,json,json_108,3,4,1,2,3,2.53 
Vidhika,json,json_109,4,5,4,5,3,4.11 
Vidhika,json,json_110,3,3,4,3,5,3.74 
Vidhika,json,json_111,2,2,4,3,3,2.89 
Vidhika,json,json_112,4,5,5,5,5,4.84 
Vidhika,json,json_113,3,2,3,3,4,3.11 
Vidhika,json,json_114,4,3,4,4,4,3.84 
Vidhika,json,json_115,5,4,3,3,3,3.47 
Vidhika,json,json_116,1,1,2,1,2,1.47 
Vidhika,json,json_117,5,4,3,3,3,3.47 
Vidhika,json,json_118,1,1,2,1,2,1.47 
Vidhika,json,json_119,2,2,3,2,2,2.21 
Vidhika,json,json_120,4,3,3,4,4,3.63 
Varun,dialogue,dia_61,5,4,4,5,5,4.6
Varun,dialogue,dia_62,4,5,5,5,4,4.6
Varun,dialogue,dia_63,4,5,4,4,4,4.2
Varun,dialogue,dia_64,2,5,4,2,5,3.75
Varun,dialogue,dia_65,4,5,2,4,4,3.8
Varun,dialogue,dia_66,5,3,4,5,4,4.15
Varun,dialogue,dia_67,2,5,5,4,4,4.1
Varun,dialogue,dia_68,3,4,5,2,4,3.65
Varun,dialogue,dia_69,2,4,4,2,2,2.8
Varun,dialogue,dia_70,3,5,4,4,5,4.3
Varun,dialogue,dia_71,5,4,4,5,4,4.35
Varun,dialogue,dia_72,2,5,5,4,4,4.1
Varun,dialogue,dia_73,2,5,5,5,4,4.3
Varun,dialogue,dia_74,5,4,5,2,4,3.95
Varun,dialogue,dia_75,2,5,4,5,3,3.85
Varun,dialogue,dia_76,2,4,5,4,5,4.15
Varun,dialogue,dia_77,5,4,4,5,5,4.6
Varun,dialogue,dia_78,5,2,5,4,4,3.95
Varun,dialogue,dia_79,5,5,4,2,4,3.95
Varun,dialogue,dia_80,3,5,4,5,5,4.5
Varun,dialogue,dia_81,2,4,3,5,5,3.95
Varun,dialogue,dia_82,4,2,4,2,5,3.45
Varun,dialogue,dia_83,2,2,5,2,4,3.1
Varun,dialogue,dia_84,5,4,4,5,4,4.35
Varun,dialogue,dia_85,2,4,4,2,4,3.3
Varun,dialogue,dia_86,4,3,2,4,5,3.65
Varun,dialogue,dia_87,2,5,4,2,5,3.75
Varun,dialogue,dia_88,5,4,3,4,4,3.95
Varun,dialogue,dia_89,4,5,5,4,4,4.4
Varun,dialogue,dia_90,4,5,4,2,3,3.55
Varun,dialogue,dia_91,2,5,5,4,4,4.1
Varun,dialogue,dia_92,5,4,3,3,5,4
Varun,dialogue,dia_93,2,4,4,2,5,3.55
Varun,dialogue,dia_94,5,4,5,4,4,4.35
Varun,dialogue,dia_95,4,3,5,3,4,3.8
Varun,dialogue,dia_96,2,2,3,2,4,2.7
Varun,dialogue,dia_97,4,5,3,4,4,4
Varun,dialogue,dia_98,2,3,3,3,5,3.35
Varun,dialogue,dia_99,4,4,5,4,4,4.2
Varun,dialogue,dia_100,4,3,5,2,5,3.85
Varun,dialogue,dia_101,2,2,5,5,5,3.95
Varun,dialogue,dia_102,4,3,5,5,3,3.95
Varun,dialogue,dia_103,5,3,4,2,3,3.3
Varun,dialogue,dia_104,2,4,3,4,5,3.75
Varun,dialogue,dia_105,5,4,5,5,5,4.8
Varun,dialogue,dia_106,3,4,5,2,3,3.4
Varun,dialogue,dia_107,3,4,3,3,4,3.45
Varun,dialogue,dia_108,2,5,3,3,3,3.25
Varun,dialogue,dia_109,3,2,5,2,5,3.5
Varun,dialogue,dia_110,2,3,3,2,4,2.9
Varun,dialogue,dia_111,2,4,5,2,3,3.25
Varun,dialogue,dia_112,5,5,3,2,3,3.5
Varun,dialogue,dia_113,5,2,3,4,5,3.8
Varun,dialogue,dia_114,4,4,5,4,4,4.2
Varun,dialogue,dia_115,2,3,4,2,3,2.85
Varun,dialogue,dia_116,4,4,4,4,4,4
Varun,dialogue,dia_117,4,5,2,3,4,3.6
Varun,dialogue,dia_118,3,4,4,2,4,3.45
Varun,dialogue,dia_119,2,3,4,2,3,2.85
Varun,dialogue,dia_120,4,4,3,3,3,3.35
Varun,json,json_121,5,4,4,5,4,4.35
Varun,json,json_122,4,3,5,4,4,4
Varun,json,json_123,5,4,3,5,4,4.15
Varun,json,json_124,4,4,4,5,4,4.2
Varun,json,json_125,5,5,5,4,4,4.55
Varun,json,json_126,4,4,5,4,5,4.45
Varun,json,json_127,4,4,3,5,4,4
Varun,json,json_128,5,5,5,4,4,4.55
Varun,json,json_129,3,4,5,5,4,4.25
Varun,json,json_130,5,4,5,5,5,4.8
Varun,json,json_131,5,5,4,4,5,4.6
Varun,json,json_132,5,5,4,5,4,4.55
Varun,json,json_133,5,4,3,4,5,4.2
Varun,json,json_134,3,5,3,4,5,4.1
Varun,json,json_135,4,5,5,3,4,4.2
Varun,json,json_136,4,3,5,5,4,4.2
Varun,json,json_137,5,3,4,4,4,3.95
Varun,json,json_138,4,5,5,4,4,4.4
Varun,json,json_139,4,5,3,4,4,4
Varun,json,json_140,4,3,3,5,4,3.8
Varun,json,json_141,5,5,4,4,4,4.35
Varun,json,json_142,5,4,4,4,4,4.15
Varun,json,json_143,5,5,3,5,5,4.6
Varun,json,json_144,5,4,3,5,5,4.4
Varun,json,json_145,3,3,3,5,4,3.65
Varun,json,json_146,4,4,3,5,4,4
Varun,json,json_147,3,3,5,5,5,4.3
Varun,json,json_148,5,5,5,5,4,4.75
Varun,json,json_149,3,4,5,4,3,3.8
Varun,json,json_150,5,5,4,4,4,4.35
Varun,json,json_151,5,5,5,5,5,5
Varun,json,json_152,4,5,3,5,4,4.2
Varun,json,json_153,3,4,3,5,4,3.85
Varun,json,json_154,5,4,3,4,5,4.2
Varun,json,json_155,4,5,5,4,4,4.4
Varun,json,json_156,5,3,5,5,4,4.35
Varun,json,json_157,4,5,5,4,4,4.4
Varun,json,json_158,5,5,4,4,3,4.1
Varun,json,json_159,3,3,4,4,4,3.65
Varun,json,json_160,4,5,3,4,3,3.75
Varun,json,json_161,5,4,5,4,4,4.35
Varun,json,json_162,5,3,4,5,5,4.4
Varun,json,json_163,4,5,5,3,4,4.2
Varun,json,json_164,5,4,5,4,4,4.35
Varun,json,json_165,3,3,5,5,5,4.3
Varun,json,json_166,5,3,4,4,5,4.2
Varun,json,json_167,4,4,4,3,3,3.55
Varun,json,json_168,5,5,3,3,5,4.2
Varun,json,json_169,5,5,5,4,5,4.8
Varun,json,json_170,4,5,4,3,4,4
Varun,json,json_171,3,5,3,4,4,3.85
Varun,json,json_172,4,5,4,5,4,4.4
Varun,json,json_173,3,5,4,4,5,4.3
Varun,json,json_174,4,5,3,4,4,4
Varun,json,json_175,4,4,5,5,4,4.4
Varun,json,json_176,4,3,5,5,3,3.95
Varun,json,json_177,3,4,5,5,4,4.25
Varun,json,json_178,5,5,5,5,3,4.5
Varun,json,json_179,5,3,4,5,5,4.4
Varun,json,json_180,4,3,3,5,5,4.05
